"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2020/06/01","00:00","9.138","8.203","7.776","4.381","4.223","0.67","0.44","-1.108","0"
"2020/07/01","00:00","9.194","8.167","7.694","4.328","4.149","0.604","0.385","-0.488","0"
"2020/08/01","00:00","9.207","8.154","7.737","4.4","4.228","0.719","0.519","-0.475","0"
"2020/09/01","00:00","9.893","8.439","8.088","4.952","4.779","1.471","1.29","-0.396","0"
"2020/10/01","00:00","9.935","8.439","8.121","4.988","4.806","1.49","1.333","-0.317","0"
"2020/11/01","00:00","9.912","8.308","7.934","4.758","4.587","1.241","1.005","-0.449","0"
"2020/12/01","00:00","9.568","7.767","7.271","4","3.856","0.44","0.165","-1.328","0"
"2021/01/01","00:00","8.951","7.73","7.291","3.961","3.803","0.319","0.066","-1.174","0"
"2021/02/01","00:00","8.597","7.757","7.432","4.158","4.005","0.578","0.378","-0.869","0"
"2021/03/01","00:00","9.23","8.009","7.665","4.286","4.107","0.549","0.322","-1.584","0"
"2021/04/01","00:00","9.443","7.96","7.57","4.204","4.043","0.516","0.378","-0.885","0"
"2021/05/01","00:00","9.033","7.957","7.488","4.184","4.007","0.526","0.312","-1.42","0"
"2021/06/01","00:00","9.368","7.937","7.481","4.2","4.03","0.578","0.352","-1.584","0"
"2021/07/01","00:00","9.479","7.954","7.507","4.243","4.066","0.624","0.411","-0.941","0"
"2021/08/01","00:00","8.935","7.986","7.553","4.328","4.159","0.765","0.598","-0.547","0"
"2021/09/01","00:00","9.243","8.19","7.829","4.702","4.532","1.234","1.064","0.089","0"
"2021/10/01","00:00","9.269","8.206","7.885","4.811","4.633","1.382","1.182","0.043","0"
"2021/11/01","00:00","10.444","8.367","8.006","4.856","4.686","1.366","1.205","0.316","0"
"2021/12/01","00:00","9.276","8.019","7.606","4.312","4.144","0.683","0.496","-0.915","0"
"2022/01/01","00:00","9.564","8.131","7.714","4.433","4.253","0.788","0.572","-1.535","0"
"2022/02/01","00:00","9.496","7.744","7.419","4.154","4","0.582","0.316","-0.754","0"
"2022/03/01","00:00","9.272","7.688","7.317","4.01","3.859","0.401","0.214","-0.987","0"
"2022/04/01","00:00","9.25","7.862","7.514","4.236","4.092","0.67","0.519","-0.557","0"
"2022/05/01","00:00","9.765","8.314","7.855","4.646","4.446","1.041","0.893","0.04","0"
"2022/06/01","00:00","9.732","8.374","7.839","4.692","4.515","1.195","0.978","-0.718","0"
"2022/07/01","00:00","9.43","7.809","7.284","4.026","3.871","0.457","0.267","-1.039","0"
"2022/08/01","00:00","9.266","7.95","7.55","4.279","4.102","0.654","0.473","-1.636","0"
"2022/09/01","00:00","10.014","8.478","8.114","5.011","4.82","1.53","1.297","-0.039","0"
"2022/10/01","00:00","9.43","8.541","8.167","5.073","4.879","1.592","1.477","0.263","0"
